vendor,date_min,date_max
Bubblehash,2014-01-09,2015-07-07
BudBoss,2014-02-23,2015-07-07
BudBuddy,2014-08-03,2015-04-27
BudCentral,2014-04-26,2014-06-01
BudEase,2015-06-04,2015-07-07
BudIndustries,2015-03-22,2015-07-07
BudLife,2014-02-23,2014-03-06
BudManTing,2015-02-16,2015-06-26
BudMasterGeneral,2015-02-28,2015-07-07
BudQueen,2015-07-07,2015-07-07
Budmail,2015-07-07,2015-07-07
Budmail_Ace,2014-08-03,2014-08-27
BudsBuds1,2014-05-16,2015-07-07
BudsNRoses,2014-08-27,2015-06-26
Buds_Buds,2014-08-27,2014-09-05
Budworx,2014-01-26,2014-10-31
BulkBarn,2015-01-24,2015-02-02
BulkShipping,2014-12-30,2015-03-29
BulkTree,2015-06-26,2015-07-04
Bungee54,2014-02-23,2015-03-22
BurmaImports,2014-10-29,2014-11-15
Burnbabyburn,2015-03-03,2015-03-29
BusinessNoBS,2015-03-29,2015-04-12
C-Vinyl,2014-10-25,2014-11-07
CANOXY,2014-05-16,2015-07-07
CAPTAIN_COOK,2014-08-03,2014-09-05
CB2013,2014-01-09,2015-07-07
CC-UK,2014-11-15,2014-12-03
CDARWIN,2014-11-15,2015-07-07
CHEECH.AND.CHONG_UK,2014-05-16,2014-11-07
CHEFjefferey,2014-02-24,2014-03-06
CMOT,2014-02-23,2015-01-01
COFFEESHOP24,2015-03-22,2015-04-12
COLES,2014-04-06,2015-07-07
COOKIE-MONSTER,2015-06-04,2015-06-20
CQDX,2014-12-01,2015-07-07
CVSPharmacy,2014-08-03,2014-09-22
CZmadeMan,2014-08-03,2015-07-07
Cabron_Marq,2014-12-20,2014-12-20
Cafe_Deluxe,2014-09-22,2015-07-07
Cali-Connection,2015-06-04,2015-07-07
CaliCannabisClub,2015-04-02,2015-07-07
CaliClaire,2014-05-16,2015-06-20
CaliConnect,2014-02-23,2014-05-16
CaliKindness,2015-07-04,2015-07-07
CaliforniaDreamin,2014-01-09,2014-03-06
CaliforniaDreams,2014-02-23,2015-07-07
CaliforniaGreenCross,2014-04-26,2015-07-07
CaliforniaSunshine,2015-06-04,2015-07-07
California_Medical_Marijuana,2014-10-25,2014-12-10
CalisFinest,2014-12-06,2015-06-30
CallMeJoe,2014-05-24,2015-07-07
CallofMJ,2014-12-03,2014-12-10
CanXpress,2014-03-06,2014-06-01
Canaboss,2015-07-04,2015-07-07
CanadaCandy,2014-05-16,2015-02-17
CanadaDirect,2014-05-16,2014-06-01
CanadaGold-MDMA,2015-06-04,2015-07-07
CanadaLabSupply,2015-03-22,2015-06-30
CanadasAmazingDrugBUD,2015-02-13,2015-02-16
CanadianCannabis,2014-02-23,2014-10-31
CanadianChronic,2015-02-17,2015-05-13
CanadianExpress,2014-04-06,2014-10-31
CanadianLines,2015-03-29,2015-07-07
CanadianSupply,2014-08-03,2015-05-13
Canadiandomestics,2015-06-26,2015-07-07
CandyMan,2014-01-26,2014-10-31
CandyShop,2014-02-23,2014-10-31
Canjam420,2014-09-22,2015-07-07
Canna-Juice,2015-06-26,2015-07-07
CannaCouture,2015-07-04,2015-07-07
CannaKing,2014-11-15,2015-07-07
CannaXpress000,2014-08-03,2015-07-04
CannabisFarmer,2015-02-24,2015-04-12
CannabisKingdomSA,2014-01-26,2014-10-31
CannabisRelief,2014-05-24,2014-08-27
CannaconcentrateUK,2015-04-10,2015-07-07
Cannaseed,2014-02-23,2015-07-07
CanuckSales,2014-11-15,2015-01-16
CapeCodCannabis,2014-10-25,2015-01-21
CapeCrusader,2014-02-28,2015-07-07
