vendor,ag_and_dead_market,ag_and_evo_market,h_ag_only,date_min,date_max
shponglestarship,0,1,0,2014-02-28,2015-06-30
shroomson,0,0,1,2014-05-16,2015-07-07
shroomstore,0,1,0,2015-02-09,2015-04-03
shroomxpress,0,0,1,2014-09-22,2014-12-24
side-swiped,0,1,0,2014-06-01,2014-06-01
siggy,0,1,0,2014-01-09,2014-08-03
silentsupply,0,1,0,2014-10-25,2015-05-13
silkroadtoagora,0,0,1,2015-06-26,2015-06-30
silkyjohnson,0,1,0,2014-02-23,2015-07-07
silkysm00th,0,0,1,2014-01-09,2014-11-07
silverapples,1,0,0,2014-04-26,2014-06-01
simonlabond,0,1,0,2014-02-23,2015-07-07
simple-simon,0,0,1,2014-04-26,2015-06-26
simply-l,0,1,0,2014-11-07,2015-01-21
sinaloa_cartel,0,0,1,2014-02-23,2015-01-21
sinmac1906,0,0,1,2014-12-15,2015-07-07
sir-acab,0,0,1,2014-02-05,2015-06-20
sirboobear23,0,0,1,2015-03-22,2015-05-04
sirioushash,0,0,1,2014-02-23,2014-10-31
sirweedalot,0,0,1,2015-03-13,2015-04-12
sjappa_pa_hjornet,0,0,1,2014-09-22,2014-11-15
sk47jet,0,0,1,2014-04-06,2014-04-06
skatingpot,1,1,0,2014-08-03,2014-12-06
skiffle,0,1,0,2014-04-26,2015-07-07
skpdrugs,0,1,0,2015-03-29,2015-05-13
skrawal,0,0,1,2014-01-09,2014-02-02
skunkuk,0,0,1,2015-01-15,2015-06-26
skylarwhite,0,0,1,2014-01-09,2014-05-24
skypeman_accounts,0,0,1,2014-12-28,2015-07-07
skywalker20,0,0,1,2014-03-06,2014-03-06
sleektheelite,1,1,0,2014-01-16,2015-06-30
sleeper77,0,0,1,2015-06-15,2015-07-07
sleepyvtg,0,0,1,2014-08-03,2014-09-22
slowstepped,0,0,1,2014-05-16,2014-10-31
smackhappy,0,0,1,2014-02-23,2014-10-31
smackthat,0,0,1,2014-02-28,2014-06-01
smart666tiger,1,1,0,2014-02-23,2015-07-07
smileypostman,0,0,1,2015-03-29,2015-06-11
smokeydabear,0,0,1,2014-08-14,2014-11-15
smokingjacket,0,0,1,2014-02-28,2014-03-06
smoor.be,1,0,0,2014-02-23,2014-10-31
smoothcriminalnl,0,1,0,2014-02-23,2015-07-07
snacktime,0,1,0,2014-10-25,2015-02-01
snakeoil,0,1,0,2014-04-26,2015-07-07
snapback,1,1,0,2014-01-09,2015-02-26
sniffpod,1,0,0,2014-04-06,2014-10-31
sniffpodsr,0,1,0,2014-11-15,2015-07-07
snogubbe,0,0,1,2014-01-09,2014-01-09
snow_white,0,0,1,2014-08-03,2014-08-27
