,vendor,date_min,date_max, date_evo_min, date_evo_max,exact_Evo,exact_SR,exact_c9,hamming_SR,hamming_evo,hamming_c9,three_mkt,h_three_mkt,two_mkt,h_two_mkt,all_mkt,h_all_mkt,ag_and_dead_market,ag_and_evo_market,h_ag_only
1977,24kpharma,2015-06-04,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1978,stardrugs,2015-01-16,2015-03-07, 2014-11-26, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
1979,studybuddies,2015-02-01,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1980,nowornever2015,2015-02-13,2015-04-27, 2014-12-23, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
1981,lorenzorc,2015-02-01,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1982,m-power,2014-12-12,2015-03-03,,,,,,0,0,0,,0,,0,,0,0,0,1
1983,hollandsherbs,2015-02-17,2015-03-13,,,,,,0,0,0,,0,,0,,0,0,0,1
1984,-flip-,2014-12-10,2015-03-19,,,,,,0,0,0,,0,,0,,0,0,0,1
1985,androgenie,2014-02-23,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
1986,xtandmd,2014-02-23,2015-07-07, 2014-11-27, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
1987,richard_nixon,2014-03-03,2015-03-10,,,,,,0,0,0,,0,,0,,0,0,0,1
1988,herbe,2015-01-09,2015-01-29, 2015-02-21, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
1989,spanishcream,2014-12-30,2015-02-28, 2014-08-14, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
1990,charlierock,2014-11-06,2015-02-26, 2014-11-26, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
1991,dreamtime,2014-02-28,2015-06-26, 2014-11-20, 2015-03-26,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
1992,snacktime,2014-10-19,2015-02-01, 2014-11-29, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
1993,canadacandy,2014-05-10,2015-02-19, 2014-07-06, 2015-03-24,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
1994,kushdepot,2014-02-23,2014-12-30, 2014-06-09, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
1995,kagar_,2015-01-23,2015-02-26, 2014-12-02, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
1996,rosesgarden,2014-02-28,2015-07-04, 2014-09-21, 2015-01-09,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1,1.0,1,0,1,0
1997,cheapthrills,2015-03-15,2015-04-30, 2015-03-12, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
