,vendor,date_min,date_max, date_evo_min, date_evo_max,exact_Evo,exact_SR,exact_c9,hamming_SR,hamming_evo,hamming_c9,three_mkt,h_three_mkt,two_mkt,h_two_mkt,all_mkt,h_all_mkt,ag_and_dead_market,ag_and_evo_market,h_ag_only
632,unclemorpheus,2014-02-23,2014-11-03,,,,,,0,0,0,,0,,0,,0,0,0,1
633,vendingsolutions,2014-02-23,2014-11-28, 2014-06-09, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
634,narcolepsy,2014-02-23,2014-12-03,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
635,thebusinessman,2014-05-03,2014-09-29, 2014-06-09, 2014-09-26,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
636,b1g1mpact,2014-02-23,2015-07-07, 2014-07-02, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
637,vitaminkings,2015-06-07,2015-06-30, 2015-01-06, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
638,mossman,2014-06-11,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
639,elpacko,2014-10-17,2015-07-07, 2014-09-26, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
640,templatesandfakes,2015-06-07,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
641,lumitrade,2015-02-13,2015-07-07, 2014-12-19, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
642,cannacouture,2015-07-04,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
643,weedmasteruk,2014-12-20,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
644,wallstreetx2,2014-02-23,2015-07-07, 2014-07-11, 2014-12-31,1.0,,,0,1,0,,0,,1,,0,0,1,0
645,dutchrevolution,2015-07-07,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
646,genericvendor,2015-03-25,2015-07-07, 2014-11-13, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
647,insta_grams,2014-02-28,2015-07-07,,,,,,1,0,0,,0,,1,,0,1,0,0
648,james2000white,2015-05-29,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
649,theweedman2.0,2014-10-14,2015-07-04,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
650,budmastergeneral,2015-02-28,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
651,legitgearking2015,2015-02-19,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
652,canadiandomestics,2015-06-22,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
653,downtherabbithole,2014-02-23,2015-06-22,,,,,,0,0,0,,0,,0,,0,0,0,1
654,happyday,2014-07-05,2015-07-07, 2014-06-09, 2015-03-07,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
655,bestdeal,2015-05-03,2015-07-07,,,,,,0,1,0,,0,,1,,0,0,1,0
656,actiondabs,2015-05-04,2015-06-12,,,,,,0,0,0,,0,,0,,0,0,0,1
657,kramer_cosmo,2015-03-25,2015-07-07, 2015-03-26, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
658,bigfootbuds,2015-03-22,2015-07-07, 2014-10-29, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
659,rastaknight,2015-04-10,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
660,alphaone,2015-03-27,2015-04-13,,,,,,0,0,0,,0,,0,,0,0,0,1
661,vger,2014-02-23,2015-07-07, 2014-06-24, 2015-03-26,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1,1.0,1,0,1,0
662,xstdp4hf,2015-06-22,2015-06-30,,,,,,0,0,0,,0,,0,,0,0,0,1
663,luckyduck,2014-11-03,2015-06-30,,,,,,0,0,0,,0,,0,,0,0,0,1
664,am123,2014-02-28,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
665,stussy,2014-05-31,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
666,captainzo,2014-02-28,2015-06-20, 2014-10-29, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
667,gene001,2014-05-03,2015-07-07, 2014-11-29, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
668,happyendingau,2014-02-23,2015-06-26,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
669,fire_fire,2014-04-06,2015-07-07,,,,1.0,1.0,1,0,1,,1,,1,,0,1,0,0
670,jrjrjr,2014-04-06,2015-07-07, 2014-10-29, 2015-01-09,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
671,amicofriz,2014-03-06,2015-07-01, 2014-09-20, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
672,speedzzzz,2014-02-23,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
673,bitcoinfashion,2014-12-12,2015-04-27,,,,,,0,0,0,,0,,0,,0,0,0,1
674,ingos-pharma,2015-01-29,2015-07-07, 2015-02-21, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
675,mittacoin,2015-05-04,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
676,norwegiancom,2014-07-18,2015-07-07, 2014-06-13, 2015-01-09,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
677,feelgoodinc,2015-03-22,2015-04-20,,,,,,0,0,0,,0,,0,,0,0,0,1
678,evanderholyfield,2014-05-06,2015-07-07,,,,,1.0,0,0,1,,0,,1,,0,1,0,0
679,legaleyez,2014-02-23,2015-07-07, 2014-06-09, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
680,hangabout,2014-08-14,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
681,ozboss,2014-04-26,2015-05-17, 2014-08-03, 2014-09-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
682,coles,2014-04-06,2015-07-07, 2014-09-06, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
683,kitykatmaster,2014-11-08,2015-06-01,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
684,weedconnect,2014-04-24,2015-07-07, 2014-07-15, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
685,lilah,2015-06-11,2015-06-30,,,,,,0,0,0,,0,,0,,0,0,0,1
686,oikos,2014-06-11,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
687,atomiclove,2014-10-19,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
688,usdank,2014-10-06,2015-05-05, 2014-10-06, 2015-01-09,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
689,amsint,2014-02-28,2015-07-01, 2014-06-09, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
690,norcoking492,2015-01-08,2015-05-13, 2015-01-09, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
691,herbalhealer,2014-07-18,2015-07-07,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
692,easydrugstore,2014-11-13,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
693,talking_tom,2014-11-14,2015-07-07,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
694,pharmacyx,2014-02-24,2015-07-07,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
695,subwaygal,2014-09-26,2015-07-07,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
696,joshen.ow,2015-04-13,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
697,chemicalreactor,2014-05-31,2015-04-22,,,,,,0,0,0,,0,,0,,0,0,0,1
698,jenjen,2014-11-08,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
699,the_l,2015-01-16,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
700,whiteyford,2014-01-01,2015-07-07, 2014-06-09, 2015-03-26,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
701,dreamweaver,2014-02-23,2015-07-07, 2014-09-17, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
702,nswgreat,2014-12-06,2015-03-19, 2014-10-29, 2015-03-26,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1,1.0,1,0,1,0
703,derek4real,2014-10-04,2015-05-10, 2014-06-09, 2015-03-24,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
704,boggalertz2,2014-12-30,2015-07-07,,,,,,0,1,0,,0,,1,,0,0,1,0
705,dahbome,2014-02-23,2015-07-07, 2014-11-13, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
706,casablanca,2015-06-07,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
707,salamalejkum,2014-02-23,2015-06-30, 2014-12-03, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
708,drawkward,2014-02-15,2015-07-07, 2014-06-09, 2015-03-26,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
709,straightbiz,2014-04-06,2015-07-07, 2014-06-09, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
710,rogerrocket,2015-03-03,2015-04-14,,,,,,0,0,0,,0,,0,,0,0,0,1
711,gottheproduct,2014-05-03,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
712,black_label,2014-05-31,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
713,lambdapharma,2014-12-28,2015-07-07, 2014-06-09, 2015-01-09,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
714,batcountry,2014-04-24,2015-07-07, 2014-09-03, 2014-10-31,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
715,mrsniffer,2015-05-31,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
716,emdmazing,2014-07-18,2015-06-11, 2014-07-05, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
717,chairman_meow,2015-05-31,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
718,hollanddutch,2014-01-01,2015-06-30, 2014-06-09, 2015-03-24,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
719,carteldelnorte,2014-04-06,2015-02-28, 2014-06-09, 2014-12-10,1.0,,,0,1,0,,0,,1,,0,0,1,0
720,gork,2014-02-05,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
721,speedvendor,2014-04-24,2015-05-05,,,,,,0,0,0,,0,,0,,0,0,0,1
722,diaznl,2014-05-16,2015-07-01, 2014-06-09, 2014-06-27,1.0,,,0,1,0,,0,,1,,0,0,1,0
723,es-light,2014-05-24,2015-07-07,,,,,,1,0,1,,1,,1,,0,1,0,0
724,ru18yet,2015-01-02,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
725,catfish916,2014-09-29,2015-03-10, 2015-02-21, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
726,panacea,2014-07-18,2015-03-22,,,,,1.0,0,0,1,,0,,1,,0,1,0,0
727,top_gear_uk,2014-02-23,2015-07-07, 2014-06-09, 2015-03-26,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1,1.0,1,0,1,0
728,cocainedealer,2014-07-18,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
729,ace_of_spades,2014-03-06,2015-07-07, 2014-08-01, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
730,chems_usa,2015-01-24,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
731,brother_satellite,2014-12-12,2015-02-21,,,,,,0,0,0,,0,,0,,0,0,0,1
732,cqdx,2014-11-19,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
733,hulk21,2015-03-16,2015-07-07, 2015-01-03, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
734,cosmo~,2015-03-03,2015-06-02,,,,,,0,0,0,,0,,0,,0,0,0,1
735,ferrisbueller,2014-01-01,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
736,stealthpharmacy,2015-03-22,2015-07-07, 2014-10-29, 2015-03-26,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
737,medibank,2014-05-24,2015-07-07, 2014-06-09, 2015-01-09,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
738,westcoastconnections,2014-02-28,2015-07-07,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
739,pharmsales,2014-04-24,2015-07-01,,,,,,0,0,0,,0,,0,,0,0,0,1
740,gammagoblin,2014-01-26,2015-07-07, 2014-08-31, 2015-03-26,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
741,rxman,2014-03-06,2015-07-07, 2014-10-29, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
742,addiesandxans,2014-12-06,2015-07-07, 2014-12-21, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
743,mile_high_club,2014-11-21,2015-04-13,,,,,,0,0,0,,0,,0,,0,0,0,1
744,blueskiesredeyes,2014-02-05,2015-07-07,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
745,klosterbier,2014-02-02,2015-07-07, 2014-06-09, 2014-10-06,1.0,,,0,1,0,,0,,1,,0,0,1,0
746,onaxking,2015-02-11,2015-05-10,,,,,,0,0,0,,0,,0,,0,0,0,1
747,zeltasgarden,2014-02-02,2015-07-07, 2014-06-09, 2015-01-09,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
748,re1oad,2014-02-18,2015-07-07,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
749,bcdirect,2014-05-24,2015-07-07, 2014-06-09, 2015-03-24,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
750,mma_,2015-02-24,2015-07-07, 2015-03-26, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
751,jerrygarcia,2014-02-10,2015-05-21,,,,,,0,0,0,,0,,0,,0,0,0,1
752,ganjafarmer,2014-11-21,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
753,danarchist666,2014-07-29,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
754,themariobrothers,2014-07-21,2015-07-07, 2014-08-25, 2014-12-27,1.0,,,0,1,0,,0,,1,,0,0,1,0
755,cokemate,2014-02-23,2015-07-07, 2014-11-21, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
756,drugsinaus,2015-01-23,2015-06-22,,,,,,0,0,0,,0,,0,,0,0,0,1
757,weed4bits,2015-01-01,2015-07-07, 2014-09-13, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
758,austore,2014-10-27,2015-07-07, 2014-11-25, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
759,buht,2014-09-15,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
760,crazy-eights,2014-02-24,2015-06-22, 2014-06-09, 2015-03-21,1.0,,1.0,1,1,1,,1,,1,,1,0,1,0
761,t5_nbome,2014-02-23,2015-07-07, 2014-11-08, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
762,high-test,2015-03-22,2015-07-07, 2015-02-27, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
763,prestige_worldwide,2014-02-23,2015-01-29,,,,,,0,0,0,,0,,0,,0,0,0,1
764,pdxblack,2014-01-09,2015-01-28, 2014-06-09, 2015-01-09,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1,1.0,1,0,1,0
765,stealthbomber,2014-02-23,2015-07-07, 2014-09-08, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
766,jimjah,2014-03-01,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
767,skunkuk,2015-01-15,2015-06-26,,,,,,0,0,0,,0,,0,,0,0,0,1
768,zorr0,2014-12-10,2014-12-17,,,,,,0,0,0,,0,,0,,0,0,0,1
769,aussiehitsfromthebong,2014-11-10,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
770,blackbusiness,2014-06-01,2015-04-02, 2014-09-22, 2014-12-04,1.0,,,0,1,0,,0,,1,,0,0,1,0
771,oao,2014-02-28,2014-12-06,,,,,,0,0,0,,0,,0,,0,0,0,1
772,indiabenzos,2014-07-18,2015-06-20, 2014-06-09, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
773,apollonian,2014-02-23,2015-06-30, 2014-06-09, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
774,myceliummarket,2014-10-06,2015-07-07, 2014-11-14, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
775,theregulars,2015-04-14,2015-06-15,,,,,,0,0,0,,0,,0,,0,0,0,1
776,pimpit,2014-01-01,2015-06-04, 2014-06-21, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
777,chipchipperson,2014-05-03,2015-07-07, 2014-06-09, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
778,magichat,2014-02-02,2015-07-01, 2014-06-09, 2015-01-09,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
779,currency,2014-02-28,2015-06-30,,,,,,0,0,0,,0,,0,,0,0,0,1
780,fakeita,2014-08-27,2015-05-17, 2014-06-09, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
781,igotstheblues,2014-07-18,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
782,germanshop,2014-08-27,2015-07-07, 2014-11-10, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
783,flawlessfakeids,2014-02-15,2015-07-07, 2014-06-09, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
784,dimitrytoo,2014-01-26,2015-07-07,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
785,ukchemicals,2014-10-29,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
786,sunline_inc,2014-06-16,2015-06-30,,,,,,1,1,0,,1,,1,,0,0,1,0
787,frconnection,2014-07-18,2015-04-10, 2014-08-05, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
788,btcboss,2014-10-09,2015-06-26,,,,,,0,0,0,,0,,0,,0,0,0,1
789,mrniceguy26,2014-04-24,2014-11-03,,,,,,0,0,0,,0,,0,,0,0,0,1
790,420express,2014-10-06,2015-07-07, 2014-12-04, 2015-03-15,1.0,,,0,1,0,,0,,1,,0,0,1,0
791,l0rzo,2014-03-03,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
792,meds4uk,2014-02-02,2015-01-21,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
793,blackbobbailey,2014-05-06,2015-06-07,,,,,,0,0,0,,0,,0,,0,0,0,1
794,moderationiskey,2014-12-28,2015-04-27,,,,,,0,0,0,,0,,0,,0,0,0,1
795,mephman,2014-07-18,2015-05-17, 2014-07-03, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
796,hadherall,2014-02-02,2015-04-13,,,,,,0,0,0,,0,,0,,0,0,0,1
797,croix,2014-11-19,2015-07-07,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
798,ozdeals,2014-08-14,2015-06-28, 2014-10-02, 2015-01-09,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
799,scoobydoosmokes67,2014-01-01,2015-06-20,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
800,flyfelix,2014-02-18,2015-07-07, 2014-06-15, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
801,indianpilldaddy,2014-03-03,2015-07-07, 2014-11-29, 2015-03-26,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
802,dmtexpress,2014-08-27,2014-12-15, 2014-11-29, 2014-12-23,1.0,,,0,1,0,,0,,1,,0,0,1,0
803,mrbudget,2014-08-27,2015-07-07,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
804,rook,2014-01-01,2015-02-24, 2014-08-20, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
805,veeker,2014-03-06,2015-07-07, 2014-06-09, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
806,qoh,2014-09-15,2015-02-16,,,,,,0,0,0,,0,,0,,0,0,0,1
807,apotheke,2014-06-19,2015-07-07, 2014-07-07, 2015-03-24,1.0,,1.0,1,1,1,,1,,1,,1,0,1,0
808,eliteness,2014-05-16,2014-11-03,,,,,,0,0,0,,0,,0,,0,0,0,1
809,greenjack,2014-08-27,2015-07-07, 2014-08-25, 2015-03-10,1.0,,,0,1,0,,0,,1,,0,0,1,0
810,mrs.blanco,2014-08-14,2015-04-30,,,,,1.0,0,0,1,,0,,1,,0,1,0,0
811,magicman,2014-11-15,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
812,nextdayvalium,2014-05-16,2015-07-07, 2014-06-09, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
813,bullseye,2014-06-11,2015-04-22, 2014-10-10, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
814,dmtdoodeelsd,2014-11-06,2015-06-26,,,,,,0,0,0,,0,,0,,0,0,0,1
815,ident!ty,2014-05-31,2015-02-17,,,,,,1,1,0,,1,,1,,0,0,1,0
816,bamsefar,2014-12-17,2015-07-07, 2014-12-14, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
817,alphadweller,2014-09-20,2014-12-10,,,,,,0,0,0,,0,,0,,0,0,0,1
818,the-backbone,2014-02-18,2015-06-30,,,,,,1,0,0,,0,,1,,0,1,0,0
819,dutchaussies,2014-08-14,2015-04-03,,,,,,0,0,0,,0,,0,,0,0,0,1
820,saralea,2014-02-18,2015-06-04,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
821,soni_mathers,2014-04-06,2015-05-21,,,,,,0,0,0,,0,,0,,0,0,0,1
822,kraeuterfreund,2014-07-21,2014-12-17, 2014-06-09, 2014-12-29,1.0,,,0,1,0,,0,,1,,0,0,1,0
823,alesklar,2014-04-06,2015-02-19, 2014-06-09, 2015-01-09,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
824,realsupremesmoke,2014-05-06,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
825,5588,2014-03-03,2015-07-07, 2014-09-10, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
826,mrcronk,2014-01-01,2015-07-07, 2014-12-02, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
827,nordicshrooms,2014-02-23,2015-07-07, 2014-11-06, 2015-01-09,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
828,organicbudz,2014-11-15,2015-05-21, 2014-08-20, 2015-01-06,1.0,,,0,1,0,,0,,1,,0,0,1,0
829,buddercup,2014-05-24,2015-07-01, 2014-10-10, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
830,levelhead,2014-12-06,2015-01-18, 2014-10-13, 2015-01-06,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
831,craigman,2014-06-11,2015-07-07, 2014-11-29, 2015-03-24,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
832,profesorhouse,2014-10-27,2014-12-30, 2014-06-09, 2015-01-09,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1,1.0,1,0,1,0
833,columbiamagic,2014-11-11,2015-02-24, 2014-12-02, 2015-03-04,1.0,,,1,1,0,,1,,1,,0,0,1,0
834,spacelab,2014-03-18,2015-03-13,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
835,diegomaradona,2014-02-23,2015-07-07, 2014-07-14, 2014-09-15,1.0,,,0,1,0,,0,,1,,0,0,1,0
836,forvex,2014-04-26,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
837,drugs4you,2014-06-01,2015-07-07, 2014-06-09, 2015-03-26,1.0,,,0,1,0,,0,,1,,0,0,1,0
838,ozmarket,2014-01-26,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
839,mr.clean,2015-01-10,2015-03-10,,,,,,0,0,0,,0,,0,,0,0,0,1
840,sunnyvale_assassins,2014-12-28,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
841,mitak,2014-10-09,2015-05-17,,,,,,0,0,0,,0,,0,,0,0,0,1
842,hanspoel,2014-07-26,2015-06-26,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
843,ncbb,2014-07-26,2015-01-18,,,,,,0,0,0,,0,,0,,0,0,0,1
844,markovich,2014-01-09,2015-07-07, 2014-09-24, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
845,kamikaze,2014-08-27,2015-03-19,,,,,,0,0,0,,0,,0,,0,0,0,1
846,nicedrugs,2014-09-22,2014-11-25, 2014-09-12, 2014-12-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
847,rubymoonlight,2014-09-22,2014-12-21, 2014-09-12, 2015-01-09,1.0,,,0,1,0,,0,,1,,0,0,1,0
848,satin_julie,2014-02-02,2014-11-03,,,,,,0,0,0,,0,,0,,0,0,0,1
849,premiumimport,2014-12-23,2015-02-19,,,,,,0,0,0,,0,,0,,0,0,0,1
850,gnarlygnome,2014-07-26,2015-07-07, 2015-02-21, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
851,darkvendor,2014-05-24,2015-05-17, 2014-06-09, 2015-03-24,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
852,tambourineman,2014-06-16,2015-03-22,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
853,concentratesking,2014-04-06,2015-07-07, 2014-06-09, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
854,koe,2014-04-06,2014-11-11,,,,,,0,0,0,,0,,0,,0,0,0,1
855,kobrivoje,2014-03-18,2015-07-07, 2014-06-09, 2015-03-26,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1,1.0,1,0,1,0
856,medindia,2014-05-31,2015-07-07, 2014-06-09, 2014-06-30,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1,1.0,1,0,1,0
857,repaaa,2014-01-01,2015-07-07, 2014-06-13, 2015-03-26,1.0,1.0,1.0,1,1,1,1.0,1,1.0,1,1.0,1,0,1,0
858,cash4bitcoin,2014-07-18,2014-11-03,,,,,,0,0,0,,0,,0,,0,0,0,1
859,humboldtheart,2014-07-26,2015-07-07,,,,1.0,,1,0,0,,0,,1,,0,1,0,0
860,kayanow,2014-02-23,2015-02-13,,,,,,0,0,0,,0,,0,,0,0,0,1
861,darkmark,2014-04-06,2015-01-23, 2014-06-09, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
862,pleasurenator,2014-04-06,2015-04-07,,,,,,0,0,0,,0,,0,,0,0,0,1
863,oxy~rx,2014-05-03,2015-07-07,,,,1.0,,1,1,0,,1,,1,,0,0,1,0
864,topqualityca,2014-08-03,2014-10-04,,,,,,0,0,0,,0,,0,,0,0,0,1
865,nogravity,2014-01-09,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
866,ganjamerchant,2014-07-18,2015-02-24, 2014-06-28, 2015-03-24,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
867,bumble701,2014-09-26,2014-11-25, 2014-11-22, 2015-03-24,1.0,,,0,1,0,,0,,1,,0,0,1,0
868,bestaussiegear,2014-07-18,2015-07-07, 2014-06-24, 2015-03-24,1.0,,1.0,0,1,1,,1,,1,,0,0,1,0
869,hogstandard,2014-04-06,2015-06-26, 2014-11-23, 2015-03-24,1.0,,,1,1,0,,1,,1,,0,0,1,0
870,socksrockslocks,2014-01-01,2015-07-07,,,,,,0,0,0,,0,,0,,0,0,0,1
871,ashylarry,2014-04-24,2015-06-20, 2015-03-15, 2015-03-26,1.0,1.0,,1,1,0,,1,,1,,0,0,1,0
