filename,ship_from,count,mean,std,min,25%,50%,75%,max
2014-06-12,South Africa,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Spain,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Sweden,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Switzerland,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Thailand,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,The United Snakes of Captivity,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,"The home of the Body Bags, shotty, and mag",1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-12,Torland,533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,UK,959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,US & CANADA,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,USA,3057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Ukraine,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Undeclared;),18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Venezuela,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,World,678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,Worldwide,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-12,my pm,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-12,torland,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-12,uk,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Argentina,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Australia,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Austria,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Belgium,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Brazil,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Canada,714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Candyland,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-13,Chile,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-13,China,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,China or EU,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Christmas Island,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-13,Colombia,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Czech Republic,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Denmark,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,EU,669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Europe,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,France,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,GERMANY,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-13,Germany,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Guatemala,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Hong Kong,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,India,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Internet,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Ireland,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Italy,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Latvia,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Mexico,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Morocco,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Netherlands,1244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,New Zealand,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Norway,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Panama,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-13,Poland,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Singapore,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-13,South Africa,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Spain,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Sweden,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Switzerland,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Thailand,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,The United Snakes of Captivity,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,"The home of the Body Bags, shotty, and mag",1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-13,Torland,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,UK,888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,US & CANADA,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,USA,2870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Ukraine,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Undeclared;),18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Venezuela,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,World,631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,Worldwide,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-13,my pm,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-13,torland,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-13,uk,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Argentina,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Australia,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Austria,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Belgium,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Brazil,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Canada,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Candyland,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-14,Chile,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-14,China,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,China or EU,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Christmas Island,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-14,Colombia,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Czech Republic,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Denmark,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,EU,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Europe,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,France,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,GERMANY,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-14,Germany,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Guatemala,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Hong Kong,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,India,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Internet,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Ireland,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Italy,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Latvia,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Me,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Mexico,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Morocco,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Netherlands,1342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,New Zealand,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Norway,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Panama,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-14,Poland,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Singapore,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-14,South Africa,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Spain,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Sweden,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Switzerland,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Thailand,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,The United Snakes of Captivity,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,"The home of the Body Bags, shotty, and mag",1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-14,Torland,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,UK,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,"UK , USA and Worldwide",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,US & CANADA,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,USA,3353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,"USA , UK and Worldwide",1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-14,Ukraine,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Undeclared;),19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Venezuela,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,World,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,Worldwide,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-14,my pm,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-14,torland,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-14,uk,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Argentina,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Australia,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Austria,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Belgium,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Brazil,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Canada,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Candyland,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-15,Chile,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-15,China,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,China or EU,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Christmas Island,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-15,Colombia,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Czech Republic,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Denmark,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,EU,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Europe,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,France,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,GERMANY,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-15,Germany,744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Guatemala,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Hong Kong,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,India,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Internet,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Ireland,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Italy,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Latvia,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Me,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Mexico,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Morocco,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Netherlands,1342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,New Zealand,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Norway,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Panama,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-15,Poland,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Singapore,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-15,South Africa,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Spain,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Sweden,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Switzerland,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Thailand,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,The United Snakes of Captivity,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,"The home of the Body Bags, shotty, and mag",1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-15,Torland,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,UK,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,"UK , USA and Worldwide",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,US & CANADA,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,USA,3353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,"USA , UK and Worldwide",1.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014-06-15,Ukraine,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Undeclared;),19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Venezuela,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,World,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,Worldwide,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-15,my pm,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
